document_uid,mentions
DOC_448b1866031a869f558a,3.0
DOC_41ba094e3c28e58e64c5,1.0
DOC_d7ca11f0c722ccc06f16,1.0
DOC_c62c0777b77cecfbcc68,0.0
DOC_8056c9e3f2d8cbebe845,4.0
DOC_b638d23150e995688fe8,5.0
DOC_61cd7c964ba7cc393ec3,2.0
DOC_8fbda0cf4ae7b17fe924,3.0
DOC_16ff11eee76e3cd42318,3.0
DOC_a971197e49701c15bd65,3.0
DOC_355b6b4a6f71492b242b,3.0
DOC_19a5e35be672603b0021,6.0
DOC_0a7e7d86dba75d2fbf7a,5.0
DOC_e638c180639cfa837c41,3.0
DOC_84e44f8649cc4ddfd0ee,7.0
DOC_259214a388582ec06c2b,5.0
DOC_49cd55e82aac32e47dba,1.0
DOC_cfc82d0241d8afe73e5e,2.0
DOC_d9660feca93fa85e17e1,3.0
DOC_3255ea6bcdfbb29f7f41,3.0
DOC_a65fa9a18ee4a1905f71,5.0
DOC_7f70857b62c1432b37cd,4.0
DOC_9ad453ea25a6cb5b9f82,5.0
DOC_2f50173177adca348983,3.0
DOC_77f78241a54db82bac27,0.0
DOC_6a0ab71a06eae41fb9f1,2.0
DOC_ae39a3e5de61751ef1f1,0.0
DOC_a63b35a1cf078705bd53,5.0
DOC_2391067b0f2dd6fc2780,1.0
DOC_c4dc808f8463ab1f7747,0.0
DOC_ef98c76df46d0cf36229,0.0
DOC_d2f2c1d93b2308e48952,6.0
DOC_8b7fee9c32af717e2f31,4.0
DOC_8247135c104dc7dfc7c1,0.0
DOC_441839a2002bfa3de034,6.0
DOC_b8d3ebcc7e0ec9c68eef,5.0
DOC_6971a84f72355089bc31,4.0
DOC_a3c685dd07ba5dd04824,0.0
DOC_b7e6203a9038575c115c,3.0
DOC_9bb0dc2644cb3c830002,4.0
DOC_78fbdcf8ffeb363e5b75,3.0
DOC_b0472092a02ea6f53aae,7.0
DOC_d66e3afd27176aa100f8,6.0
DOC_77b7c1323b22df004efb,3.0
DOC_5fc414b4b5e9f08a5f5e,5.0
DOC_7544e9ccda12285bb3b0,0.0
